id,image,title_ko,title_en,year,plot,runtime,genre,difficulty,word_avg_level,tree_depth,pron_acc,real_word,clause_ratio,overlap_ratio,phrase_ratio,pp_ratio,rare_word_ratio,slang_ratio,syllable_word,avg_speed,lev_distance,,,wavve_url,watcha_url,netflix_url,tiving_url,coupang_url,disney_url
11,movies/images/11.png,어벤져스: 인피니티 워,Avengers: Infinity War,2018,"타노스는 6개의 인피니티 스톤을 획득해 신으로 군림하려 한다. 그것은 곧 인류의 절반을 학살해 우주의 균형을 맞추겠다는 뜻. 타노스는 닥터 스트레인지가 소유한 타임 스톤, 비전의 이마에 박혀 있는 마인드 스톤을 차지하기 위해 지구를 침략한다. 아이언맨과 스파이더맨은 가디언즈 오브 갤럭시의 멤버들과 타노스를 상대한다. 지구에선 캡틴 아메리카, 완다, 블랙 위도우, 블랙 팬서 등이 비전을 지키기 위해 뭉친다.",149,"슈퍼히어로, 액션, SF, 판타지",3,0.66,0.11,0.3,0.42,0.16,0.1,0.27,0.25,1,0.48,0.48,0.6,0.24,,,,,,,,https://www.disneyplus.com/ko-kr/browse/entity-9a136e06-852a-41bf-b71d-fa061cb43225?irclickid=3AsXS6QaIxycT%3AkXNtTMsV8nUkpTRQW6j2cCy80&irgwc=1&afsrc=1&cid=DSS-Affiliate-Impact-Content-JustWatch%20GmbH-705874&tgclid=0d010043-61c1-48ba-9800-0343692c3faf
12,movies/images/12.png,스파이더맨: 뉴 유니버스,Spider-Man: Into the Spider-Verse,2018,"평범한 10대 마일스 모랄레스는 우연히 방사능 거미에 물려 스파이더맨 능력을 가지게 된다. 혼란스러워하던 마일스는 악당과 싸우고 있는 피터 파커를 마주치게 되고 피터 파커는 마일스가 자신과 같은 능력을 가지고 있음을 직감한다. 여러 개의 평행세계가 존재한다는 것을 알게 된 마일스와 피터 파커는 이후 스파이더우먼 스파이더 그웬, 스파이더맨 누아르, 스파이더햄 등 평행세계 속 공존하는 모든 스파이더맨들을 만나게 되는데... 하나의 유니버스에서 만나 팀을 결성한 스파이더맨들은 과연 세계를 구할 수 있을까?",117,"애니메이션, 슈퍼히어로, 액션, SF",3,0.66,0.22,0.53,0.26,0.16,0.06,0.09,0.25,0.67,0.8,0.24,0.49,0.31,,,https://www.wavve.com/player/movie?movieid=MV_CF01_SY0000011560,https://watcha.com/contents/md76rkk,,,,
13,movies/images/13.png,송 오브 더 씨,Song of the Sea,2014,"전설 속 요정들과 함께 부르는 신비로운 노래! 마법에 걸린 동생을 구하는 오빠 벤과 강아지 쿠의 가슴 두근거리는 모험이 시작된다! 등대 앞 바다에서 살고 있는 소년 벤에게 아름다운 자장가를 불러주던 엄마가 여동생 시얼샤를 낳은 후 갑자기 사라진다. 몇 년이 지나도 말을 하지 못하는 시얼샤는 엄마가 남긴 나팔고둥을 우연히 불게 되고, 어딘가에 홀린 듯 바다로가 바다표범과 신비로운 모험을 하게 된다. 딸까지 잃고 싶지 않은 아빠는 남매를 도시의 할머니에게 보내지만, 벤과 시얼샤는 다시 고향 집으로 가기 위해 길을 나선다. 그러던 중 벤과 시얼샤, 강아지 쿠는 부엉이 마녀 마카의 함정에 빠지게 되고 위험에 처하는데... 과연 벤은 마법에 걸린 동생을 구하고 아빠 품으로 돌아갈 수 있을까?",93,"애니메이션, 판타지, 가족, 어드벤처",2,0.24,0.44,0.41,0.42,0.19,0.47,0.82,0.38,1,0.6,0.08,0.36,0.26,,,,,,,,
14,movies/images/14.png,코코,Coco,2017,"미구엘은 멕시코의 자랑인 에르네스토 델라 크루즈 같은 뮤지션이 되길 꿈꾸지만 미구엘 집안 사람들에게 음악은 금기다. 먼 옛날 조상 중에 음악 때문에 가족을 버린 인물이 있었기 때문. 미구엘은 죽은 자의 날이 되자 실력으로 인정받겠다는 결심을 하고 경연 무대에 오르려 하는데, 우연히 에르네스토의 기타에 손을 댔다가 죽은 자들의 세상에 들어서게 된다. 이승과 저승을 이어주는 마리골드 꽃길을 건너 죽은 자들의 세상에 도착한 미구엘은 거짓말과 위변조가 장기인 헥터를 만난다. 그리고 꿈에 그리던 우상 에르네스토를 만나러 가는 여정에서 가족의 비밀을 알게 된다.",105,"애니메이션, 판타지, 코미디, 가족",2,0.12,0.89,0.5,0.11,0.26,0.01,0.09,0.21,1,0.46,0.36,0.34,1,,,,,,,,https://www.disneyplus.com/ko-kr/browse/entity-ce1ccdca-f468-4960-b67c-026b01ba42ab?irclickid=3AsXS6QaIxycT%3AkXNtTMsV8nUkpTRVWCj2cCy80&irgwc=1&afsrc=1&cid=DSS-Affiliate-Impact-Content-JustWatch%20GmbH-705874&tgclid=07010018-00ff-41a9-8700-1b98692c40a8
15,movies/images/15.png,다크 나이트 라이즈,The Dark Knight Rises,2012,"배트맨이 조커와의 대결을 끝으로 세상에서 모습을 감춘 8년 후, 하비 덴트의 죽음에 대한 책임을 떠안은 배트맨은 모든 것을 희생하며 떠난다. 범죄방지 덴트법으로 인해 한동안 평화가 지속되던 고담시의 파멸을 예고하며 나타난 마스크를 쓴 잔인한 악당, 최강의 적 베인이 등장한다. 베인은 배트맨이 스스로 택한 유배 생활에 종지부를 찍게 하지만, 다시 돌아온 배트맨에게 베인은 만만한 상대가 아니다. 자신을 거부한 사람들의 고통을 지켜볼 것인가, 정의의 수호자로 나설 것인가. 배트맨은 승패를 알 수 없는 마지막 전투를 시작하려 하는데...",164,"액션, 어드벤처, 드라마, 스릴러",3,0.61,0.67,0.34,0.36,0.32,0.06,0.45,0.54,0.67,0.62,0.48,0.59,0.04,,,https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011176,,,,,
16,movies/images/16.png,어벤져스: 엔드게임,Avengers: Endgame,2019,"어벤져스의 패배 이후 지구는 초토화됐고 남은 절반의 사람들은 정신적 고통을 호소하며 하루하루를 근근이 버텨나간다. 와칸다에서 싸우다 생존한 히어로들과 우주의 타이탄 행성에서 싸우다 생존한 히어로들이 뿔뿔이 흩어졌는데, 아이언맨과 네뷸라는 우주를 떠돌고 있고 지구에 남아 있는 어벤져스 멤버들은 닉 퓨리가 마지막에 신호를 보내다 만 송신기만 들여다보며 혹시 모를 우주의 응답을 기다리는 중이다. 애초 히어로의 삶을 잠시 내려놓고 가족과 시간을 보내던 호크아이 역시 헤아릴 수 없는 마음의 상처를 입은 채 사라지고 마는데...",181,"슈퍼히어로, 액션, SF, 판타지",3,0.37,0.44,0.13,0.27,0.16,0,0.45,0.33,1,0.8,0.23,0.53,0.02,,,,,,,,https://www.disneyplus.com/ko-kr/browse/entity-b39aa962-be56-4b09-a536-98617031717f?irclickid=3AsXS6QaIxycT%3AkXNtTMsV8nUkpTRX07j2cCy80&irgwc=1&afsrc=1&cid=DSS-Affiliate-Impact-Content-JustWatch%20GmbH-705874&tgclid=09010015-5203-4093-8100-0cca692c410e
17,movies/images/17.png,조커,Joker,2019,"홀어머니와 사는 아서 플렉은 코미디언을 꿈꾸지만 그의 삶은 좌절과 절망으로 가득 차 있다. 광대 아르바이트는 그에게 모욕을 가져다주기 일쑤고, 긴장하면 웃음을 통제할 수 없는 신경병 증세는 그를 더욱 고립시킨다. 정부 예산 긴축으로 인해 정신과 약물을 지원하던 공공의료 서비스마저 없어져 버린 어느 날, 아서는 지하철에서 시비를 걸어온 증권사 직원들에게 얻어맞던 와중에 동료가 건네준 권총으로 그들을 쏴 버리고 만다. 군중들은 지배계급에 대한 저항의 아이콘이 된 그를 추종하기 시작하며 광대 마스크로 얼굴을 가리고 거리로 쏟아져 나오기 시작하는데...",123,"심리 스릴러, 범죄, 드라마",3,0.54,0.11,0.47,0.34,0.58,0.02,0.09,0.21,1,0.4,0.62,0.63,0.17,,,https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011583,,,,,
18,movies/images/18.png,토이 스토리 3,Toy Story 3,2010,"모든 장난감들이 겪는 가장 슬픈 일은 바로 주인이 성장해 더이상 자신들과 놀아주지 않는 것. 우디와 버즈에게도 그 위기가 찾아온다. 앤디가 대학에 진학, 집을 떠나게 된 것. 헤어짐의 불안에 떨던 토이들은 앤디 엄마의 실수로 집을 나오게 되고 우여곡절 끝에 탁아소에 기증된다. 앤디가 자신들을 버렸다고 생각하는 장난감들. 게다가 어린이집의 아이들은 난폭하고 험한 데다가, 상상도 못했던 거대한 음모까지 숨겨져 있는 어린이집 장난감의 세계. 앤디가 여전히 자신들을 사랑한다는 사실을 알게 된 장난감들은 앤디 곁",108,"애니메이션, 코미디, 어드벤처, 가족",3,0.68,0.44,0.75,0.55,0.02,0,0.09,0.54,1,0.63,0.31,0.78,0.27,,,,,,,,https://www.disneyplus.com/ko-kr/browse/entity-95e7b2ce-5f45-4923-976d-b7e9968a7357?irclickid=3AsXS6QaIxycT%3AkXNtTMsV8nUkpTRX1ij2cCy80&irgwc=1&afsrc=1&cid=DSS-Affiliate-Impact-Content-JustWatch%20GmbH-705874&tgclid=04010027-35eb-438b-a600-0591692c4155
19,movies/images/19.png,로건,Logan,2017,"2029년 알 수 없는 이유로 돌연변이들이 태어나지 않는 미래, 더이상 엑스맨은 없다. 갈수록 재생력이 약해져 늙고 수척해진 로건은 멕시코 국경지대 은신처에 찰스 교수를 보호 중이다. 뇌에 심각한 손상을 입은 찰스 교수는 과거를 제대로 기억하지 못하는 데다 간헐적으로 주변을 위협하는 발작까지 일으킨다. 찰스 교수와 함께 떠날 배를 사기 위해 리무진 기사로 일하며 돈을 모으는 로건. 어느 날 낯선 여인이 찾아와 돌연변이 소녀 로라를 캐나다 국경까지 데려다 달라고 부탁한다. 로건은 로라를 쫓는 기업의 경호집단을 피해 험난한 여정을 떠난다.",135,"슈퍼히어로, SF, 액션, 드라마",3,0.51,0.33,0.24,0.48,0.2,0.04,0.27,0.29,1,0.45,0.29,0.8,0.12,,,,,,,,https://www.disneyplus.com/ko-kr/browse/entity-7c1743ec-7cd6-4da4-9e8c-b713ad4e634a?irclickid=3AsXS6QaIxycT%3AkXNtTMsV8nUkpTRXyLj2cCy80&irgwc=1&afsrc=1&cid=DSS-Affiliate-Impact-Content-JustWatch%20GmbH-705874&tgclid=09010025-da61-438d-8200-00f5692c417a
20,movies/images/20.png,업,Up,2009,"평생 모험을 꿈꿔 왔던 칼 할아버지는 재개발 공사 현장의 인부를 실수로 다치게 하고 집을 빼앗길 위기에 처한다. 그 동안 미뤄 왔던, 먼저 세상을 떠난 아내와의 약속을 지키기 위해 그는 수천 개의 풍선을 매달아 집을 통째로 남아메리카로 날려 버린다. 하지만 이 위대한 모험에 초대 받지 않은 불청객이 있었으니, 바로 황야의 어린이 탐험가 러셀. 우여곡절 끝에 도착한 남미에서 칼은 어린 시절의 우상이었던 위대한 모험가 찰스 먼츠를 만나게 되는데... 그들은 과연 남미의 잃어버린 세계에서 사라져 버린 꿈과 희망, 행복을 다시 찾을 수 있을까?",101,"애니메이션, 코미디, 드라마, 어드벤처, 가족",3,0.59,0.89,0.59,0.54,0.08,0.12,0,0.33,1,0.63,0.23,0.48,0.17,,,,,,,,https://www.disneyplus.com/ko-kr/browse/entity-f820c0a3-e646-4b75-8dd1-87f6d776c32b?irclickid=3AsXS6QaIxycT%3AkXNtTMsV8nUkpTRXRKj2cCy80&irgwc=1&afsrc=1&cid=DSS-Affiliate-Impact-Content-JustWatch%20GmbH-705874&tgclid=0b010044-be7b-40b0-9e00-033a692c419b
